Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate
FTP-Patator,0.417631,0.261631,0.273631,0.284631,0.295631,0.307631,0.261631,0.273631,0.284631,0.295631,0.261631,0.273631,0.284631,0.273631,0.284631,0.295631,0.307631,0.318631,0.330631,0.261631,0.273631,0.284631,0.295631,0.261631,0.273631,0.284631,0.295631,0.261631,0.273631,0.284631,0.295631,0.261631,0.273631,0.284631,0.295631,0.261631,0.273631,0.284631,0.295631,0.261631,0.273631,0.284631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.261631,0.273631,0.307631,0.261631,0.295631,0.261631,0.284631,0.273631,0.295631,0.261631,0.273631,0.284631,0.295631,0.150631,0.162631,0.173631,0.184631,0.196631,0.207631,0.218631,0.229631,0.039631,0.051631,0.062631,0.073631,0.084631,0.095631,0.107631
SSH-Patator,0.531631,0.342631,0.354631,0.365631,0.376631,0.388631,0.342631,0.354631,0.365631,0.376631,0.342631,0.354631,0.365631,0.354631,0.365631,0.376631,0.388631,0.399631,0.410631,0.342631,0.354631,0.365631,0.376631,0.342631,0.354631,0.365631,0.376631,0.342631,0.354631,0.365631,0.376631,0.342631,0.354631,0.365631,0.376631,0.342631,0.354631,0.365631,0.376631,0.342631,0.354631,0.365631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.342631,0.354631,0.388631,0.342631,0.376631,0.342631,0.365631,0.354631,0.376631,0.342631,0.354631,0.365631,0.376631,0.241631,0.253631,0.264631,0.275631,0.287631,0.298631,0.309631,0.320631,0.129631,0.141631,0.152631,0.163631,0.174631,0.185631,0.197631
DoS Slowloris,0.875631,0.077631,0.088631,0.099631,0.110631,0.121631,0.077631,0.088631,0.099631,0.110631,0.077631,0.088631,0.099631,0.067631,0.077631,0.088631,0.099631,0.110631,0.121631,0.077631,0.088631,0.099631,0.110631,0.077631,0.088631,0.099631,0.110631,0.077631,0.088631,0.099631,0.110631,0.077631,0.088631,0.099631,0.110631,0.077631,0.088631,0.099631,0.110631,0.077631,0.088631,0.099631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077631,0.088631,0.121631,0.077631,0.110631,0.077631,0.099631,0.088631,0.110631,0.077631,0.088631,0.099631,0.110631,0.033631,0.044631,0.055631,0.066631,0.077631,0.088631,0.099631,0.110631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowhttptest,0.852631,0.096631,0.107631,0.118631,0.129631,0.140631,0.096631,0.107631,0.118631,0.129631,0.096631,0.107631,0.118631,0.085631,0.096631,0.107631,0.118631,0.129631,0.140631,0.096631,0.107631,0.118631,0.129631,0.096631,0.107631,0.118631,0.129631,0.096631,0.107631,0.118631,0.129631,0.096631,0.107631,0.118631,0.129631,0.096631,0.107631,0.118631,0.129631,0.096631,0.107631,0.118631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096631,0.107631,0.140631,0.096631,0.129631,0.096631,0.118631,0.107631,0.129631,0.096631,0.107631,0.118631,0.129631,0.041631,0.052631,0.063631,0.074631,0.085631,0.096631,0.107631,0.118631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS GoldenEye,0.211631,0.268631,0.229631,0.232631,0.158631,0.135631,0.123631,0.116631,0.194631,0.223631,0.125631,0.140631,0.258631,0.762631,0.207631,0.142631,0.249631,0.090631,0.276631,0.235631,0.181631,0.171631,0.216631,0.200631,0.225631,0.072631,0.267631,0.292631,0.118631,0.227631,0.292631,0.226631,0.242631,0.199631,0.256631,0.145631,0.199631,0.232631,0.120631,0.188631,0.267631,0.200631,0.052631,0.145631,0.122631,0.235631,0.000000,0.000000,0.000000,0.000000,0.234631,0.226631,0.135631,0.227631,0.256631,0.268631,0.232631,0.229631,0.158631,0.219631,0.184631,0.145631,0.122631,0.200631,0.267631,0.280631,0.189631,0.099631,0.110631,0.211631,0.222631,0.032631,0.043631,0.054631,0.065631,0.076631,0.087631,0.098631
Bot,0.436631,0.312631,0.329631,0.160631,0.197631,0.242631,0.146631,0.457631,0.323631,0.148631,0.340631,0.182631,0.333631,0.364631,0.151631,0.578631,0.397631,0.366631,0.254631,0.340631,0.326631,0.135631,0.418631,0.405631,0.226631,0.412631,0.295631,0.208631,0.336631,0.092631,0.239631,0.376631,0.302631,0.258631,0.431631,0.392631,0.348631,0.380631,0.290631,0.186631,0.402631,0.269631,0.105631,0.094631,0.351631,0.315631,0.387631,0.269631,0.278631,0.226631,0.392631,0.329631,0.242631,0.218631,0.258631,0.312631,0.160631,0.329631,0.197631,0.264631,0.206631,0.324631,0.292631,0.732631,0.666631,0.720631,0.786631,0.376631,0.212631,0.356631,0.269631,0.105631,0.410631,0.266631,0.325631,0.156631,0.402631,0.376631
Infiltration,0.333631,0.445631,0.456631,0.468631,0.479631,0.491631,0.445631,0.456631,0.468631,0.479631,0.445631,0.456631,0.468631,0.456631,0.468631,0.479631,0.491631,0.502631,0.514631,0.445631,0.456631,0.468631,0.479631,0.445631,0.456631,0.468631,0.479631,0.445631,0.456631,0.468631,0.479631,0.445631,0.456631,0.468631,0.479631,0.445631,0.456631,0.468631,0.479631,0.445631,0.456631,0.468631,0.052631,0.064631,0.076631,0.088631,0.100631,0.000000,0.000000,0.000000,0.445631,0.456631,0.491631,0.445631,0.479631,0.445631,0.468631,0.456631,0.479631,0.445631,0.456631,0.468631,0.479631,0.244631,0.256631,0.268631,0.280631,0.292631,0.304631,0.316631,0.328631,0.133631,0.145631,0.157631,0.169631,0.181631,0.193631,0.205631
Web Attack Brute Force,0.452631,0.563631,0.274631,0.285631,0.197631,0.208631,0.262631,0.274631,0.285631,0.296631,0.262631,0.274631,0.285631,0.374631,0.386631,0.398631,0.308631,0.319631,0.331631,0.262631,0.274631,0.285631,0.296631,0.262631,0.274631,0.285631,0.296631,0.262631,0.274631,0.285631,0.296631,0.262631,0.274631,0.285631,0.296631,0.262631,0.274631,0.285631,0.296631,0.262631,0.274631,0.285631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.262631,0.274631,0.208631,0.262631,0.296631,0.563631,0.285631,0.274631,0.197631,0.262631,0.274631,0.285631,0.296631,0.151631,0.163631,0.174631,0.185631,0.197631,0.208631,0.219631,0.230631,0.040631,0.052631,0.063631,0.074631,0.085631,0.096631,0.108631
Web Attack Sql Injection,0.374631,0.486631,0.297631,0.308631,0.220631,0.231631,0.285631,0.297631,0.308631,0.319631,0.285631,0.297631,0.308631,0.397631,0.408631,0.319631,0.331631,0.342631,0.353631,0.285631,0.297631,0.308631,0.319631,0.285631,0.297631,0.308631,0.319631,0.285631,0.297631,0.308631,0.319631,0.285631,0.297631,0.308631,0.319631,0.285631,0.297631,0.308631,0.319631,0.285631,0.297631,0.308631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.285631,0.297631,0.231631,0.285631,0.319631,0.486631,0.308631,0.297631,0.220631,0.285631,0.297631,0.308631,0.319631,0.163631,0.174631,0.185631,0.197631,0.208631,0.219631,0.230631,0.242631,0.052631,0.063631,0.074631,0.085631,0.097631,0.108631,0.119631
Web Attack XSS,0.297631,0.408631,0.220631,0.231631,0.242631,0.253631,0.208631,0.220631,0.231631,0.242631,0.208631,0.220631,0.231631,0.319631,0.331631,0.231631,0.242631,0.253631,0.264631,0.208631,0.220631,0.231631,0.242631,0.208631,0.220631,0.231631,0.242631,0.208631,0.220631,0.231631,0.242631,0.208631,0.220631,0.231631,0.242631,0.208631,0.220631,0.231631,0.242631,0.208631,0.220631,0.231631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.208631,0.220631,0.253631,0.208631,0.242631,0.408631,0.231631,0.220631,0.231631,0.208631,0.220631,0.231631,0.242631,0.086631,0.097631,0.108631,0.120631,0.131631,0.142631,0.153631,0.165631,0.054631,0.065631,0.076631,0.087631,0.098631,0.109631,0.121631
BENIGN,0.579631,0.893631,0.719631,0.663631,0.469631,0.612631,0.368631,0.824631,0.613631,0.503631,0.452631,0.666631,0.577631,0.478631,0.432631,0.658631,0.502631,0.713631,0.588631,0.677631,0.563631,0.712631,0.658631,0.497631,0.586631,0.492631,0.703631,0.632631,0.666631,0.695631,0.632631,0.594631,0.532631,0.763631,0.814631,0.802631,0.654631,0.593631,0.797631,0.643631,0.534631,0.644631,0.256631,0.646631,0.590631,0.682631,0.812631,0.294631,0.217631,0.696631,0.654631,0.593631,0.612631,0.654631,0.593631,0.893631,0.663631,0.719631,0.469631,0.579631,0.893631,0.719631,0.663631,0.533631,0.566631,0.812631,0.256631,0.646631,0.590631,0.682631,0.812631,0.294631,0.217631,0.696631,0.654631,0.593631,0.893631,0.719631
